NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2023-12-20 15-52-31.nano
Sample Name,"lip"
Operator Name,"H460 Nan"
Time Captured,15:52:31  20/12/2023
Pre-treatment,""
Diluent,"100"
Remarks,""

Filename:,Capture 2023-12-20 15-52-53,Capture 2023-12-20 15-56-18,Capture 2023-12-20 15-57-25,

[Conditions]
Temperature/C,22.873,23.09,23.117,
Viscosity/cP,0.933497,0.928762,0.928176,
Camera Type,sCMOS,sCMOS,sCMOS,
Laser Type,Green,Green,Green,
Camera Level,14,14,14,
Slider Shutter,1259,1259,1259,
Slider Gain,366,366,366,
Shutter/ms,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,

[Settings]
Detection Threshold,20,20,20,
Max Jump Mode,Auto,Auto,Auto,
Max Jump Distance,12.9119,13.4066,13.504,
Blur,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,
First frame,0,0,0,
Total frames analysed,1498,1498,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,Average,Standard Error,
175.0,26367487,44489579,43509410,38122159,5884143,
185.0,13441224,22538054,12247229,16075502,3249607,
195.0,7274811,7590718,2534663,5800064,1635246,
205.0,4860730,1211904,563518,2212050,1337501,
215.0,3792239,53170,200728,1348713,1222506,
225.0,2701004,397,160740,954047,874704,
235.0,1350258,0,297552,549270,409602,
245.0,418089,0,840672,419587,242682,
255.0,84228,0,1849285,644504,602881,
265.0,12981,0,1669527,560836,554358,
275.0,1821,0,394732,132184,131275,
285.0,258,0,19191,6483,6355,
295.0,38,0,178,72,54,
305.0,5,0,0,2,2,
315.0,0,0,0,0,0,
325.0,0,0,0,0,0,
335.0,0,0,0,0,0,
345.0,0,0,0,0,0,
355.0,0,0,0,0,0,
365.0,0,0,0,0,0,
375.0,0,0,0,0,0,
385.0,0,0,0,0,0,
395.0,0,0,0,0,0,
405.0,0,0,0,0,0,
415.0,0,0,0,0,0,
425.0,0,0,0,0,0,
435.0,0,0,0,0,0,
445.0,0,0,0,0,0,
455.0,0,0,0,0,0,
465.0,0,0,0,0,0,
475.0,0,0,0,0,0,
485.0,0,0,0,0,0,
495.0,0,0,0,0,0,
505.0,0,0,0,0,0,
515.0,0,0,0,0,0,
525.0,0,0,0,0,0,
535.0,0,0,0,0,0,
545.0,0,0,0,0,0,
555.0,0,0,0,0,0,
565.0,0,0,0,0,0,
575.0,0,0,0,0,0,
585.0,0,0,0,0,0,
595.0,0,0,0,0,0,
605.0,0,0,0,0,0,
615.0,0,0,0,0,0,
625.0,0,0,0,0,0,
635.0,0,0,0,0,0,
645.0,0,0,0,0,0,
655.0,0,0,0,0,0,
665.0,0,0,0,0,0,
675.0,0,0,0,0,0,
685.0,0,0,0,0,0,
695.0,0,0,0,0,0,
705.0,0,0,0,0,0,
715.0,0,0,0,0,0,
725.0,0,0,0,0,0,
735.0,0,0,0,0,0,
745.0,0,0,0,0,0,
755.0,0,0,0,0,0,
765.0,0,0,0,0,0,
775.0,0,0,0,0,0,
785.0,0,0,0,0,0,
795.0,0,0,0,0,0,
805.0,0,0,0,0,0,
815.0,0,0,0,0,0,
825.0,0,0,0,0,0,
835.0,0,0,0,0,0,
845.0,0,0,0,0,0,
855.0,0,0,0,0,0,
865.0,0,0,0,0,0,
875.0,0,0,0,0,0,
885.0,0,0,0,0,0,
895.0,0,0,0,0,0,
905.0,0,0,0,0,0,
915.0,0,0,0,0,0,
925.0,0,0,0,0,0,
935.0,0,0,0,0,0,
945.0,0,0,0,0,0,
955.0,0,0,0,0,0,
965.0,0,0,0,0,0,
975.0,0,0,0,0,0,
985.0,0,0,0,0,0,
995.0,0,0,0,0,0,

Percentile,Size (nm),Size (nm),Size (nm),
0,0.0,0.0,0.0,
1,74.1,71.6,73.3,
2,79.7,74.1,77.6,
3,81.9,76.6,80.5,
4,83.8,79.1,81.8,
5,85.8,81.0,83.1,
6,87.8,82.5,84.3,
7,89.8,84.0,85.6,
8,91.1,85.5,86.9,
9,92.3,87.0,88.1,
10,93.5,88.5,89.4,
11,94.8,90.0,90.5,
12,96.0,91.0,91.4,
13,97.2,92.0,92.3,
14,98.5,93.0,93.2,
15,99.7,94.0,94.1,
16,100.7,95.0,95.0,
17,101.6,96.0,96.0,
18,102.5,97.0,96.9,
19,103.4,98.1,97.8,
20,104.3,99.1,98.7,
21,105.2,100.0,99.6,
22,106.1,100.8,100.4,
23,107.0,101.5,101.2,
24,107.9,102.2,102.0,
25,108.8,102.9,102.7,
26,109.7,103.6,103.5,
27,110.4,104.3,104.3,
28,111.1,105.0,105.0,
29,111.8,105.8,105.8,
30,112.4,106.5,106.5,
31,113.1,107.2,107.3,
32,113.8,107.9,108.1,
33,114.4,108.6,108.8,
34,115.1,109.3,109.6,
35,115.8,110.0,110.3,
36,116.4,110.7,110.9,
37,117.1,111.4,111.6,
38,117.8,112.1,112.2,
39,118.4,112.8,112.9,
40,119.1,113.5,113.5,
41,119.8,114.1,114.2,
42,120.4,114.8,114.8,
43,121.0,115.5,115.5,
44,121.6,116.2,116.1,
45,122.2,116.9,116.8,
46,122.8,117.5,117.4,
47,123.4,118.2,118.1,
48,124.0,118.9,118.7,
49,124.6,119.6,119.4,
50,125.2,120.3,120.0,
51,125.8,121.1,120.8,
52,126.4,121.8,121.6,
53,127.0,122.6,122.4,
54,127.6,123.3,123.2,
55,128.2,124.1,124.0,
56,128.8,124.8,124.7,
57,129.4,125.6,125.5,
58,130.0,126.3,126.3,
59,130.6,127.1,127.1,
60,131.3,127.9,127.9,
61,132.0,128.6,128.7,
62,132.7,129.4,129.4,
63,133.4,130.1,130.3,
64,134.1,131.0,131.3,
65,134.8,131.9,132.3,
66,135.5,132.7,133.3,
67,136.2,133.6,134.3,
68,136.9,134.4,135.2,
69,137.6,135.3,136.2,
70,138.3,136.2,137.2,
71,139.0,137.0,138.2,
72,139.7,137.9,139.2,
73,140.5,138.8,140.2,
74,141.5,139.6,141.2,
75,142.4,140.6,142.1,
76,143.3,141.6,143.1,
77,144.3,142.6,144.1,
78,145.2,143.6,145.0,
79,146.1,144.7,146.0,
80,147.1,145.7,147.0,
81,148.0,146.7,148.0,
82,148.9,147.7,148.9,
83,149.9,148.8,149.9,
84,151.2,149.8,150.9,
85,152.6,151.1,152.0,
86,154.0,152.4,153.0,
87,155.3,153.7,154.1,
88,156.7,155.1,155.1,
89,158.1,156.4,156.2,
90,159.5,157.8,157.2,
91,161.4,159.1,158.2,
92,163.8,160.7,159.3,
93,166.2,162.7,160.7,
94,168.6,164.8,162.7,
95,171.9,166.8,164.7,
96,176.6,168.9,166.7,
97,182.3,171.8,168.7,
98,191.4,175.8,172.6,
99,205.5,179.9,179.8,
100,990.0,940.0,990.0,

