NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2021-01-28 11-20-05.nano
Sample Name,"H460-10/23/20"
Operator Name,"yq"
Time Captured,11:20:05  28/01/2021
Pre-treatment,""
Diluent,"200"
Remarks,""

Filename:,Capture 2021-01-28 11-20-29,Capture 2021-01-28 11-21-42,Capture 2021-01-28 11-22-50,

[Conditions]
Temperature/C,23.137,23.186,23.232,
Viscosity/cP,0.927742,0.92668,0.925685,
Camera Type,sCMOS,sCMOS,sCMOS,
Laser Type,Green,Green,Green,
Camera Level,14,14,14,
Slider Shutter,1259,1259,1259,
Slider Gain,366,366,366,
Shutter/ms,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,20,20,50,

[Settings]
Detection Threshold,4,4,4,
Max Jump Mode,Auto,Auto,Auto,
Max Jump Distance,12.5914,12.5134,12.0914,
Blur,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,
First frame,0,0,0,
Total frames analysed,1498,1498,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,Average,Standard Error,
5,75.4,77.6,75.5,
6,77.1,79.3,77.7,
7,78.8,80.3,79.9,
8,80.2,80.8,80.9,
9,80.9,81.3,81.9,
10,81.7,81.8,82.8,
11,82.4,82.3,83.8,
12,83.1,82.8,84.7,
13,83.8,83.3,85.7,
14,84.6,83.8,86.7,
15,85.3,84.3,87.6,
16,86.0,84.8,88.6,
17,86.8,85.2,89.5,
18,87.5,85.7,90.3,
19,88.2,86.2,90.8,
20,89.0,86.7,91.4,
21,89.7,87.2,92.0,
22,90.4,87.7,92.5,
23,91.0,88.2,93.1,
24,91.6,88.7,93.6,
25,92.3,89.2,94.2,
26,92.9,89.7,94.8,
27,93.5,90.2,95.3,
28,94.2,90.8,95.9,
29,94.8,91.3,96.4,
30,95.4,91.8,97.0,
31,96.1,92.4,97.6,
32,96.7,92.9,98.1,
33,97.3,93.5,98.7,
34,98.0,94.0,99.2,
35,98.6,94.5,99.8,
36,99.2,95.1,100.4,
37,99.9,95.6,101.1,
38,100.7,96.2,101.8,
39,101.6,96.7,102.4,
40,102.5,97.3,103.1,
41,103.4,97.8,103.8,
42,104.3,98.3,104.4,
43,105.2,98.9,105.1,
44,106.1,99.4,105.8,
45,107.0,100.0,106.4,
46,107.9,101.2,107.1,
47,108.8,102.6,107.8,
48,109.7,103.9,108.4,
49,110.8,105.2,109.1,
50,112.0,106.5,109.7,
51,113.2,107.9,110.8,
52,114.4,109.2,112.0,
53,115.6,110.9,113.3,
54,116.8,113.3,114.6,
55,118.0,115.7,115.8,
56,119.2,118.0,117.1,
57,120.4,120.3,118.3,
58,121.7,122.2,119.6,
59,123.1,124.1,121.2,
60,124.4,126.0,122.9,
61,125.7,127.9,124.7,
62,127.0,129.8,126.5,
63,128.3,131.1,128.2,
64,129.6,132.3,130.0,
65,131.1,133.4,131.6,
66,132.7,134.6,133.1,
67,134.2,135.8,134.7,
68,135.8,137.0,136.3,
69,137.4,138.2,137.8,
70,138.9,139.3,139.4,
71,140.7,140.4,140.9,
72,142.9,141.5,142.3,
73,145.2,142.5,143.7,
74,147.4,143.5,145.1,
75,149.7,144.5,146.5,
76,152.9,145.6,147.9,
77,156.3,146.6,149.3,
78,159.7,147.6,151.0,
79,164.2,148.6,152.9,
80,168.7,149.6,154.8,
81,173.5,150.9,156.7,
82,178.5,152.4,158.6,
83,183.3,153.9,161.0,
84,187.9,155.3,164.7,
85,192.2,156.8,168.4,
86,196.3,158.3,173.9,
87,200.4,159.8,180.8,
88,204.4,162.5,189.1,
89,208.4,165.4,195.6,
90,212.9,168.3,201.2,
91,217.8,172.6,205.1,
92,223.9,178.4,209.0,
93,231.6,186.6,212.4,
94,243.3,196.4,215.5,
95,257.9,207.3,218.6,
96,271.5,220.1,222.5,
97,284.0,236.2,227.2,
98,298.5,254.6,235.7,
99,336.1,294.6,318.8,
100,990.0,740.0,860.0,

