NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2023-12-20 16-51-05.nano
Sample Name,"lip"
Operator Name,"293A Nan"
Time Captured,16:51:05  20/12/2023
Pre-treatment,""
Diluent,"100"
Remarks,""

Filename:,Capture 2023-12-20 16-54-41,Capture 2023-12-20 16-55-52,Capture 2023-12-20 16-58-12,

[Conditions]
Temperature/C,24.19,24.268,24.33,
Viscosity/cP,0.905341,0.903716,0.902428,
Camera Type,sCMOS,sCMOS,sCMOS,
Laser Type,Green,Green,Green,
Camera Level,15,15,15,
Slider Shutter,1206,1206,1206,
Slider Gain,366,366,366,
Shutter/ms,30.15,30.15,30.15,
Camera Histogram Upper Limit,3294,3294,3294,
Camera Histogram Lower Limit,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,

[Settings]
Detection Threshold,28,28,28,
Max Jump Mode,Auto,Auto,Auto,
Max Jump Distance,10.1316,14.3309,14.3309,
Blur,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,
First frame,0,0,0,
Total frames analysed,1498,1498,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,Average,Standard Error,
Filename,Capture 2023-12-20 16-54-41,Capture 2023-12-20 16-55-52,Capture 2023-12-20 16-58-12,Average,Standard Error
Mean,127.1,104.7,102.6,111.5,7.9
Mode,117.1,113.8,98.1,109.7,5.9
SD,21.7,20.1,18.8,20.2,0.8
D10,96.2,66.0,70.4,77.5,9.4
D50,112.0,97.6,91.3,100.3,6.1
D90,147.0,117.4,118.0,127.5,9.8
Valid Tracks,1197.0,1282.0,1462.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
5.0,0,0,0,0,0,
15.0,0,0,0,0,0,
25.0,0,5208,0,1736,1736,
35.0,0,705478,25,235168,235155,
45.0,0,6898207,282342,2393516,2253820,
55.0,0,16735369,11211520,9315630,4923208,
65.0,0,42892783,28151481,23681422,12582180,
75.0,278,79549197,56044065,45197847,23595466,
85.0,233629,110699975,138149058,83027554,42148502,
95.0,15486499,153027397,240654853,136389583,65530679,
105.0,145727472,216252142,217068148,193015920,23645398,
115.0,315215486,276562615,140000987,243926363,53147198,
125.0,246805416,178453553,91874619,172377863,44827720,
135.0,120940355,48321933,50337613,73199967,23877285,
145.0,66481324,10655536,22527488,33221449,16979402,
155.0,54177678,3951044,8033888,22054203,16104923,
165.0,49140177,2449141,1603471,17730929,15706521,
175.0,27206233,1554945,129618,9630265,8797611,
185.0,6292433,712329,4162,2336308,1988598,
195.0,754682,222374,65,325707,223882,
205.0,95400,49987,0,48463,27550,
215.0,25179,8290,0,11156,7408,
225.0,17577,1008,0,6195,5698,
235.0,27151,92,0,9081,9035,
245.0,66954,7,0,22320,22317,
255.0,195406,0,0,65136,65135,
265.0,532969,0,0,177656,177656,
275.0,1123841,0,0,374614,374614,
285.0,1563404,0,0,521135,521135,
295.0,1255674,0,0,418558,418558,
305.0,522044,0,0,174015,174015,
315.0,103172,0,0,34391,34391,
325.0,9108,0,0,3036,3036,
335.0,345,0,0,115,115,
345.0,5,0,0,2,2,
355.0,0,0,0,0,0,
365.0,0,0,0,0,0,
375.0,0,0,0,0,0,
385.0,0,0,0,0,0,
395.0,0,0,0,0,0,
405.0,0,0,0,0,0,
415.0,0,0,0,0,0,
425.0,0,0,0,0,0,
435.0,0,0,0,0,0,
445.0,0,0,0,0,0,
455.0,0,0,0,0,0,
465.0,0,0,0,0,0,
475.0,0,0,0,0,0,
485.0,0,0,0,0,0,
495.0,0,0,0,0,0,
505.0,0,0,0,0,0,
515.0,0,0,0,0,0,
525.0,0,0,0,0,0,
535.0,0,0,0,0,0,
545.0,0,0,0,0,0,
555.0,0,0,0,0,0,
565.0,0,0,0,0,0,
575.0,0,0,0,0,0,
585.0,0,0,0,0,0,
595.0,0,0,0,0,0,
605.0,0,0,0,0,0,
615.0,0,0,0,0,0,
625.0,0,0,0,0,0,
635.0,0,0,0,0,0,
645.0,0,0,0,0,0,
655.0,0,0,0,0,0,
665.0,0,0,0,0,0,
675.0,0,0,0,0,0,
685.0,0,0,0,0,0,
695.0,0,0,0,0,0,
705.0,0,0,0,0,0,
715.0,0,0,0,0,0,
725.0,0,0,0,0,0,
735.0,0,0,0,0,0,
745.0,0,0,0,0,0,
755.0,0,0,0,0,0,
765.0,0,0,0,0,0,
775.0,0,0,0,0,0,
785.0,0,0,0,0,0,
795.0,0,0,0,0,0,
805.0,0,0,0,0,0,
815.0,0,0,0,0,0,
825.0,0,0,0,0,0,
835.0,0,0,0,0,0,
845.0,0,0,0,0,0,
855.0,0,0,0,0,0,
865.0,0,0,0,0,0,
875.0,0,0,0,0,0,
885.0,0,0,0,0,0,
895.0,0,0,0,0,0,
905.0,0,0,0,0,0,
915.0,0,0,0,0,0,
925.0,0,0,0,0,0,
935.0,0,0,0,0,0,
945.0,0,0,0,0,0,
955.0,0,0,0,0,0,
965.0,0,0,0,0,0,
975.0,0,0,0,0,0,
985.0,0,0,0,0,0,
995.0,0,0,0,0,0,

Percentile,Size (nm),Size (nm),Size (nm),
0,0.0,0.0,0.0,
1,86.7,42.3,48.7,
2,90.4,49.2,53.1,
3,91.1,52.4,56.6,
4,91.8,55.0,60.1,
5,92.5,57.7,61.9,
6,93.3,60.2,63.7,
7,94.0,61.7,65.5,
8,94.7,63.1,67.3,
9,95.4,64.6,69.1,
10,96.2,66.0,70.4,
11,96.9,67.4,71.1,
12,97.6,68.9,71.8,
13,98.3,70.2,72.5,
14,99.0,71.3,73.3,
15,99.8,72.3,74.0,
16,100.2,73.4,74.7,
17,100.6,74.4,75.5,
18,100.9,75.4,76.2,
19,101.2,76.5,76.9,
20,101.6,77.5,77.6,
21,101.9,78.6,78.4,
22,102.2,79.6,79.1,
23,102.6,80.5,79.8,
24,102.9,81.2,80.3,
25,103.2,82.0,80.7,
26,103.6,82.7,81.2,
27,103.9,83.5,81.6,
28,104.2,84.2,82.0,
29,104.6,85.0,82.4,
30,104.9,85.7,82.8,
31,105.2,86.5,83.2,
32,105.6,87.2,83.7,
33,105.9,88.0,84.1,
34,106.2,88.7,84.5,
35,106.6,89.5,84.9,
36,106.9,90.2,85.3,
37,107.3,90.7,85.8,
38,107.6,91.2,86.2,
39,107.9,91.8,86.6,
40,108.3,92.3,87.0,
41,108.6,92.8,87.4,
42,108.9,93.3,87.8,
43,109.3,93.9,88.3,
44,109.6,94.4,88.7,
45,109.9,94.9,89.1,
46,110.3,95.5,89.5,
47,110.8,96.0,89.9,
48,111.2,96.5,90.4,
49,111.6,97.1,90.9,
50,112.0,97.6,91.3,
51,112.5,98.1,91.8,
52,112.9,98.7,92.2,
53,113.3,99.2,92.7,
54,113.7,99.7,93.2,
55,114.2,100.2,93.6,
56,114.6,100.6,94.1,
57,115.0,101.0,94.6,
58,115.5,101.4,95.0,
59,115.9,101.9,95.5,
60,116.3,102.3,95.9,
61,116.7,102.7,96.4,
62,117.2,103.1,96.9,
63,117.6,103.5,97.3,
64,118.0,103.9,97.8,
65,118.4,104.4,98.3,
66,118.9,104.8,98.7,
67,119.3,105.2,99.2,
68,119.7,105.6,99.7,
69,120.3,106.0,100.2,
70,121.2,106.4,100.9,
71,122.1,106.9,101.6,
72,122.9,107.3,102.3,
73,123.8,107.7,103.1,
74,124.7,108.1,103.8,
75,125.5,108.5,104.5,
76,126.4,108.9,105.2,
77,127.3,109.3,105.9,
78,128.2,109.8,106.7,
79,129.0,110.3,107.4,
80,129.9,110.9,108.1,
81,131.4,111.6,108.8,
82,133.0,112.2,109.5,
83,134.6,112.9,110.4,
84,136.2,113.5,111.5,
85,137.7,114.1,112.6,
86,139.3,114.8,113.7,
87,141.1,115.4,114.8,
88,143.1,116.1,115.9,
89,145.0,116.7,116.9,
90,147.0,117.4,118.0,
91,148.9,118.0,119.1,
92,150.9,118.7,120.4,
93,153.1,119.3,122.4,
94,155.2,119.9,124.4,
95,157.4,122.2,126.4,
96,159.5,124.5,128.4,
97,163.0,126.9,130.9,
98,166.9,129.3,135.4,
99,173.3,137.6,139.9,
100,900.0,990.0,890.0,

